"Issue Type","Summary","Description","Priority","Original Estimate","Epic Name","Epic Link","Labels","Labels","Labels","Labels","Labels","Labels"
"Epic","E0 Custody integrity","Not one of the eleven deliverables, and non-negotiable anyway. Every deliverable reads custody state, and four defects currently make that state untrustworthy. Building reporting on top of them multiplies the error.","Highest","","E0 Custody integrity","","","","","","",""
"Epic","E1 Entity and user administration","Deliverable 1. Master-data CRUD largely exists. User administration does not exist at all, and four of the ten declared roles cannot log in. That is the epic.","Highest","","E1 Entity and user administration","","","","","","",""
"Epic","E2 Foundation identity and load","Deliverables 2 and 8. Deliverable 8 is not a separate feature: it is the identity rule that makes the Foundation load safe, so the two are one epic.","High","","E2 Foundation identity and load","","","","","","",""
"Epic","E3 Alerts and assignment gaps","Deliverable 3. The notification table and in-app centre exist; delivery is a console.log that then marks the row delivered. Critical-gap detection does not exist.","High","","E3 Alerts and assignment gaps","","","","","","",""
"Epic","E4 Org structure and departure","Deliverable 4. project_team_member and the assignment hierarchy already work. Missing: the departure path, and a management view built for the Equipment department.","High","","E4 Org structure and departure","","","","","","",""
"Epic","E5 Custody context and rig model","Deliverables 6 and 7, and the schema blocker for four other epics. Backtracking tool to trailer to truck is impossible today: assignment carries one nullable location_id and cannot hold a truck and a trailer at once.","Highest","","E5 Custody context and rig model","","","","","","",""
"Epic","E6 Purchase order attachments","Deliverable 5, deliberately small. File attachments and a searchable PO number. This is NOT procurement: no requisition, approval chain, vendor workflow or receipt.","Medium","","E6 Purchase order attachments","","","","","","",""
"Epic","E7 Project scoping","Deliverable 10. project_group and visibleProjectScope exist. This epic extends scoping to every remaining procedure and makes the switcher consistent.","High","","E7 Project scoping","","","","","","",""
"Epic","E8 Permissions and role surfaces","Deliverable 11. Runs through every screen. The permission matrix is the critical path for four other epics.","Highest","","E8 Permissions and role surfaces","","","","","","",""
"Epic","E9 Dashboard tabs and generated views","Deliverable 9, the largest piece of new product. Tabs become data rather than an enum, panels are declared in a registry, and a PM can generate a view in words. Promoted to Sprint 2 on Urban's call.","Highest","","E9 Dashboard tabs and generated views","","","","","","",""
"Epic","E10 Blocky design language","ADR-7. The product's visual language becomes Blocky: 3-4px radius, monospace numerals, dense rows, coloured left edge bars, zebra tables, bare status text. The shadcn LOOK is dropped; the Radix primitives underneath it are kept, so accessibility and component behaviour are unaffected.","High","","E10 Blocky design language","","","","","","",""
"Story","[STI-001] Make custody writes atomic","Plan ID: STI-001 | Sprint: S1 Release 1 - by 24 Aug 2026 | Estimate: 16h (2d)

Full specification: docs/workings/RELEASE_1_SPRINT_PLAN.md

h3. Mechanism
Custody executes three consecutive unwrapped statements: close the old assignment, open the new one, append the ledger event. A failure between any two leaves register and ledger permanently and silently disagreeing. Import already does this correctly inside a transaction; custody does not. Wrap it, take a row lock (SELECT ... FOR UPDATE) so concurrent writers cannot interleave, and validate the transition against the pure rules in packages/domain before writing anything.

h3. Acceptance criteria
* Every caller routes through one function: assignment.create, transfer.create, transfer.approve, the chat executor, and the import commit
* An injected failure at each of the three write points leaves the database unchanged
* The ledger event carries a COMPLETE to_state. foldAssetState is last-snapshot-wins, not field-wise; a partial snapshot silently erases fields. This bug has shipped twice
* Notification dispatch happens after commit; a failing notifier must not roll back custody

h3. Cases
* Two desk operators assign the same tool simultaneously: one wins, one gets a clean conflict error, no duplicate active row
* Asset has no active assignment (first issue from the yard): current is null and the transition validator accepts it

h3. Definition of done
* Reachable through the UI by a user with the right permission
* Custody-affecting changes write a complete ledger event
* Permissions checked, never role names
* Authorisation before data access
* Migrations committed with the code; CI green with no drift
* Integration tests cover the happy path and the listed cases
* Lead review","Highest","57600","","E0 Custody integrity","sti-001","sprint-1","custody","data-integrity","",""
"Story","[STI-002] Enforce one active assignment per asset at the database","Plan ID: STI-002 | Sprint: S1 Release 1 - by 24 Aug 2026 | Estimate: 16h (2d)

Full specification: docs/workings/RELEASE_1_SPRINT_PLAN.md

h3. Mechanism
The invariant is stated in three documents and enforced nowhere. Duplicates already exist in live data, so the index cannot simply be added: the backfill must choose a survivor first. CREATE UNIQUE INDEX CONCURRENTLY assignment_one_active_uq ON assignment (asset_id) WHERE status = 'active'.

h3. Acceptance criteria
* The duplicate report is produced and reviewed WITH the Equipment department before any row is touched. Which of two active assignments survives is a per-tool judgement about where the tool physically is. It is not a script and must not be automated
* Each correction is written as a compensating ledger event, never an UPDATE or DELETE on history
* The index exists and a second active insert fails at the database, not in application code
* CONCURRENTLY, so the migration does not lock the table

h3. Cases
* Backfill finds a tool nobody can locate: it becomes 'lost', a real state, rather than being force-assigned to whoever appears first in the table

h3. Definition of done
* Reachable through the UI by a user with the right permission
* Custody-affecting changes write a complete ledger event
* Permissions checked, never role names
* Authorisation before data access
* Migrations committed with the code; CI green with no drift
* Integration tests cover the happy path and the listed cases
* Lead review","Highest","57600","","E0 Custody integrity","sti-002","sprint-1","custody","data-integrity","migration",""
"Story","[STI-003] Make the ledger append-only at the database","Plan ID: STI-003 | Sprint: S1 stretch - only if S1 lands early | Estimate: 8h (1d)

Full specification: docs/workings/RELEASE_1_SPRINT_PLAN.md

h3. Mechanism
Append-only is currently a code comment. Revoke the grants so it becomes a property of the database: REVOKE UPDATE, DELETE ON transaction FROM app_role.

h3. Acceptance criteria
* Application UPDATE/DELETE against transaction fails
* Migrations run under a role that still holds DDL rights
* A rejected write surfaces as a typed error, not a 500

h3. Definition of done
* Reachable through the UI by a user with the right permission
* Custody-affecting changes write a complete ledger event
* Permissions checked, never role names
* Authorisation before data access
* Migrations committed with the code; CI green with no drift
* Integration tests cover the happy path and the listed cases
* Lead review","High","28800","","E0 Custody integrity","sti-003","sprint-1-stretch","custody","data-integrity","",""
"Story","[STI-004] Scheduled projection reconciliation","Plan ID: STI-004 | Sprint: S1 stretch - only if S1 lands early | Estimate: 16h (2d)

Full specification: docs/workings/RELEASE_1_SPRINT_PLAN.md

h3. Mechanism
Invariant 4 says folding the ledger from the beginning reproduces the current register exactly. Nothing proves it. A scheduled job folds every asset and compares against the projection.

h3. Acceptance criteria
* Runs nightly
* A non-empty result raises a desk alert naming the divergent assets
* The job is read-only. It reports drift and never silently repairs it, because a silent repair destroys the evidence of the bug that caused the drift

h3. Depends on
STI-001

h3. Definition of done
* Reachable through the UI by a user with the right permission
* Custody-affecting changes write a complete ledger event
* Permissions checked, never role names
* Authorisation before data access
* Migrations committed with the code; CI green with no drift
* Integration tests cover the happy path and the listed cases
* Lead review","High","57600","","E0 Custody integrity","sti-004","sprint-1-stretch","custody","data-integrity","",""
"Story","[STI-005] Commit outstanding migrations and fail CI on drift","Plan ID: STI-005 | Sprint: S1 Release 1 - by 24 Aug 2026 | Estimate: 8h (1d)

Full specification: docs/workings/RELEASE_1_SPRINT_PLAN.md

h3. Mechanism
Two migrations are uncommitted, so production may not match main. CI should have caught it. This is free and should be done on day 1.

h3. Acceptance criteria
* Outstanding migrations committed
* Deployed schema verified against main
* CI job fails when drizzle generate produces a non-empty diff

h3. Definition of done
* Reachable through the UI by a user with the right permission
* Custody-affecting changes write a complete ledger event
* Permissions checked, never role names
* Authorisation before data access
* Migrations committed with the code; CI green with no drift
* Integration tests cover the happy path and the listed cases
* Lead review","Highest","28800","","E0 Custody integrity","sti-005","sprint-1","ci","migration","",""
"Story","[STI-101] User administration","Plan ID: STI-101 | Sprint: S1 Release 1 - by 24 Aug 2026 | Estimate: 20h (2.5d)

Full specification: docs/workings/RELEASE_1_SPRINT_PLAN.md

h3. Mechanism
There is no screen for creating a user, granting a role, deactivating someone or resetting a password. Every account today came from the seed. Build CRUD over the existing user / role / user_role tables.

h3. Acceptance criteria
* Create user (email, employee link, role), assign and revoke roles, deactivate, reset password
* Deactivation ends sessions immediately. A deactivated user with a live token is a departed employee still holding access
* Deactivating a user who holds tools is refused, and the error names STI-402 as the path. Custody must land somewhere before access is removed
* Password reset issues a single-use expiring token; bcrypt cost 12 matching login
* Every action writes an audit event with the acting user

h3. Cases
* The last owner account cannot be deactivated or stripped of its role: a tenant with no administrator is unrecoverable
* Email already in use: typed field error, not a constraint violation surfacing as a 500

h3. Definition of done
* Reachable through the UI by a user with the right permission
* Custody-affecting changes write a complete ledger event
* Permissions checked, never role names
* Authorisation before data access
* Migrations committed with the code; CI green with no drift
* Integration tests cover the happy path and the listed cases
* Lead review","Highest","72000","","E1 Entity and user administration","sti-101","sprint-1","deliverable-1","identity","",""
"Story","[STI-102] Add the missing login roles","Plan ID: STI-102 | Sprint: S3 Roles - org structure and Blocky migration | Estimate: 16h (2d)

Full specification: docs/workings/RELEASE_1_SPRINT_PLAN.md

h3. Mechanism
ROLES declares ten but ROLE_PERMS covers only some, so the rest cannot log in usefully. Urban has now resolved the three open definitions, recorded in docs/workings/PERMISSION_MATRIX.md: an ENGINEER is a PM with a different operational purpose and an identical relationship to small tools, so it takes the project_manager permission set and exists separately only so the two can diverge later without a migration. A MECHANIC is an Equipment department employee who holds and uses tools like a foreman, but for repair rather than construction, and whose tools charge to the DEPARTMENT rather than a project. ADMIN resolves to three distinct roles: System Administrator (the developers who build this system), Equipment Administrator (owns the tools programme) and Office Administrator (operations and accounts).

h3. Acceptance criteria
* Every role in ROLES has an explicit permission set; no role falls through to empty
* engineer is added, taking the project_manager permission set and the assets.view.project scope
* mechanic is added as a login role, holding assets.view.own and repair actions. Its cost target defaults to department, not project — the schema already supports this (docs/built/11-department-cost-targets.md), so only the default needs wiring
* system_administrator, office_administrator and equipment_administrator are DISTINCT roles. No procedure branches on the name 'admin'
* seed.ts ROLE_PERMS matches docs/workings/PERMISSION_MATRIX.md exactly

h3. Depends on
STI-801

h3. Definition of done
* Reachable through the UI by a user with the right permission
* Custody-affecting changes write a complete ledger event
* Permissions checked, never role names
* Authorisation before data access
* Migrations committed with the code; CI green with no drift
* Integration tests cover the happy path and the listed cases
* Lead review","Highest","57600","","E1 Entity and user administration","sti-102","sprint-3","deliverable-1","identity","rbac",""
"Story","[STI-103] Equipment entity management: trucks and trailers","Plan ID: STI-103 | Sprint: S4 Foundation - PO and entity management | Estimate: 16h (2d)

Full specification: docs/workings/RELEASE_1_SPRINT_PLAN.md

h3. Mechanism
Trucks and trailers are vehicle rows 1:1 with a location row. CRUD exists but the desk cannot see fleet-wide state or find an unassigned unit. Scope boundary: these are moving locations for tools, NOT a fleet module. No maintenance schedules, mileage or fuel.

h3. Acceptance criteria
* List and filter by type, ownership (company_owned | personal_allowance) and assignment status
* 'Unassigned' is a first-class filter: it is what the desk actually searches for
* Personal vehicles are visually distinct everywhere; they are not Urban property and behave differently on departure
* Deleting a vehicle carrying history is refused, naming the status change to use instead

h3. Definition of done
* Reachable through the UI by a user with the right permission
* Custody-affecting changes write a complete ledger event
* Permissions checked, never role names
* Authorisation before data access
* Migrations committed with the code; CI green with no drift
* Integration tests cover the happy path and the listed cases
* Lead review","High","57600","","E1 Entity and user administration","sti-103","sprint-4","deliverable-1","fleet","",""
"Story","[STI-104] Small tools entity management hardening","Plan ID: STI-104 | Sprint: S4 Foundation - PO and entity management | Estimate: 16h (2d)

Full specification: docs/workings/RELEASE_1_SPRINT_PLAN.md

h3. Mechanism
Bulk operations and delete safety on the tool register.

h3. Acceptance criteria
* Bulk edit of category and department across a selection
* tag remains optional and is never generated. A tag is a physical label, not an identity; asset.id is identity
* Delete refuses anything with history

h3. Definition of done
* Reachable through the UI by a user with the right permission
* Custody-affecting changes write a complete ledger event
* Permissions checked, never role names
* Authorisation before data access
* Migrations committed with the code; CI green with no drift
* Integration tests cover the happy path and the listed cases
* Lead review","Medium","57600","","E1 Entity and user administration","sti-104","sprint-4","deliverable-1","","",""
"Story","[STI-105] Project entity management","Plan ID: STI-105 | Sprint: S4 Foundation - PO and entity management | Estimate: 8h (1d)

Full specification: docs/workings/RELEASE_1_SPRINT_PLAN.md

h3. Mechanism
Project CRUD with lifecycle guards.

h3. Acceptance criteria
* Job ID and name shown together everywhere via idName()
* Status transitions awarded -> active -> closing -> complete
* A project with active assignments cannot be completed without naming where the tools go

h3. Definition of done
* Reachable through the UI by a user with the right permission
* Custody-affecting changes write a complete ledger event
* Permissions checked, never role names
* Authorisation before data access
* Migrations committed with the code; CI green with no drift
* Integration tests cover the happy path and the listed cases
* Lead review","Medium","28800","","E1 Entity and user administration","sti-105","sprint-4","deliverable-1","","",""
"Story","[STI-106] Entity management integration test harness","Plan ID: STI-106 | Sprint: S4 Foundation - PO and entity management | Estimate: 20h (2.5d)

Full specification: docs/workings/RELEASE_1_SPRINT_PLAN.md

h3. Mechanism
apps/api and apps/web have no test script. Every existing test is a pure-function unit test, so nothing exercises a router, a database or a screen. This story builds the first integration layer; later epics extend it.

h3. Acceptance criteria
* Router-level integration tests against a real Postgres for every entity mutation in this epic
* pnpm test runs them in CI
* Tenant isolation asserted on every list procedure

h3. Definition of done
* Reachable through the UI by a user with the right permission
* Custody-affecting changes write a complete ledger event
* Permissions checked, never role names
* Authorisation before data access
* Migrations committed with the code; CI green with no drift
* Integration tests cover the happy path and the listed cases
* Lead review","High","72000","","E1 Entity and user administration","sti-106","sprint-4","testing","","",""
"Story","[STI-201] External reference model","Plan ID: STI-201 | Sprint: S4 Foundation - PO and entity management | Estimate: 16h (2d)

Full specification: docs/workings/RELEASE_1_SPRINT_PLAN.md

h3. Mechanism
external_id today is a nullable NON-UNIQUE text column on exactly two tables (project, employee). It cannot prevent a duplicate, cannot say which system a value came from, and cannot record when it was last confirmed. Three entry paths must converge on one identity rule: synced from Foundation (external_ref is authoritative), imported from spreadsheet (matched on natural key, adopts a ref later), added by hand (no ref until a sync adopts it).

h3. Acceptance criteria
* external_system, external_id, source and last_synced_at on project, employee, cost code and phase
* Uniqueness enforced per (tenant, system, type, native_id), partial so hand-entered rows with no ref are unconstrained
* Fields owned by Foundation become read-only in the UI once an external_ref exists, so a local edit cannot diverge and then be silently overwritten by the next sync

h3. Definition of done
* Reachable through the UI by a user with the right permission
* Custody-affecting changes write a complete ledger event
* Permissions checked, never role names
* Authorisation before data access
* Migrations committed with the code; CI green with no drift
* Integration tests cover the happy path and the listed cases
* Lead review","High","57600","","E2 Foundation identity and load","sti-201","sprint-4","deliverable-2","deliverable-8","foundation","migration"
"Story","[STI-202] Idempotent Foundation load","Plan ID: STI-202 | Sprint: S4 Foundation - PO and entity management | Estimate: 20h (2.5d)

Full specification: docs/workings/RELEASE_1_SPRINT_PLAN.md

h3. Mechanism
Re-running a load must update, never duplicate. Unmatched rows are surfaced for a human, never dropped: a dropped row is silent data loss nobody discovers until a report is wrong. Match on external_ref first, then fuzzy-match on name plus job number to adopt pre-existing hand-entered rows.

h3. Acceptance criteria
* Loads projects, phases, cost codes and users over the ODBC connection from STI-205
* Running the same export twice produces zero creates on the second pass. This is the headline test
* Every unmatched row appears in the report with a stated reason
* The whole load is one transaction: a partial load is worse than none
* Reuses the existing preview -> commit shape in routers/import.ts, which already does typed validation, dedup and transactional commit well. Because the transport is a live query rather than a file (ADR-8), the same code path serves the one-time load and every later refresh

h3. Cases
* Foundation renames a project: matched on external_ref, name updated, no duplicate
* Two Foundation rows carry the same native_id: the load aborts and names both. Do not guess
* A hand-entered project fuzzy-matches a Foundation row: adopted, and the adoption is recorded as a ledger event so it can be audited later

h3. Depends on
STI-201

h3. Definition of done
* Reachable through the UI by a user with the right permission
* Custody-affecting changes write a complete ledger event
* Permissions checked, never role names
* Authorisation before data access
* Migrations committed with the code; CI green with no drift
* Integration tests cover the happy path and the listed cases
* Lead review","High","72000","","E2 Foundation identity and load","sti-202","sprint-4","deliverable-2","deliverable-8","foundation",""
"Story","[STI-203] Load preview and report screen","Plan ID: STI-203 | Sprint: S4 Foundation - PO and entity management | Estimate: 16h (2d)

Full specification: docs/workings/RELEASE_1_SPRINT_PLAN.md

h3. Mechanism
The load must be inspectable before it commits, and its unmatched rows must be resolvable without a developer.

h3. Acceptance criteria
* Dry-run preview showing created / updated / unmatched before commit
* Unmatched rows are individually resolvable: adopt, skip, or create new
* The report is downloadable

h3. Depends on
STI-202

h3. Definition of done
* Reachable through the UI by a user with the right permission
* Custody-affecting changes write a complete ledger event
* Permissions checked, never role names
* Authorisation before data access
* Migrations committed with the code; CI green with no drift
* Integration tests cover the happy path and the listed cases
* Lead review","Medium","57600","","E2 Foundation identity and load","sti-203","sprint-4","deliverable-2","foundation","",""
